# C_ID[1] C_NGAL[2] C_Z[3] G_ID[4] G_RA[5] G_DEC[6] G_Z[7] G_Z_ERR[8]
5	12	0.07070	294068	2.57981	+0.96219	0.06653	0.00000
5	12	0.07070	294143	2.58179	+0.96205	0.07086	0.00000
5	12	0.07070	294144	2.58191	+0.96289	0.06649	0.00000
5	12	0.07070	294184	2.58804	+0.96381	0.06664	0.00000
5	12	0.07070	393971	2.59236	+0.96660	0.06727	0.00000
5	12	0.07070	294135	2.58440	+0.95937	0.06274	0.00000
5	12	0.07070	294172	2.59037	+0.96319	0.07106	0.00000
5	12	0.07070	294177	2.59299	+0.96284	0.07086	0.00000
5	12	0.07070	294175	2.59350	+0.96278	0.07087	0.00000
5	12	0.07070	294228	2.59397	+0.96334	0.07097	0.00000
5	12	0.07070	393973	2.59766	+0.96328	0.07115	0.00000
5	12	0.07070	394014	2.60077	+0.96431	0.07053	0.00000
6	10	0.06398	369502	2.74135	+0.92448	0.06447	0.00000
6	10	0.06398	369545	2.74172	+0.92487	0.06405	0.00000
6	10	0.06398	434256	2.74176	+0.92482	0.06402	0.00000
6	10	0.06398	368649	2.73403	+0.92906	0.06394	0.00000
6	10	0.06398	368647	2.73596	+0.92561	0.06273	0.00000
6	10	0.06398	368643	2.73507	+0.92716	0.06350	0.00000
6	10	0.06398	368638	2.73659	+0.92879	0.06390	0.00000
6	10	0.06398	368652	2.73710	+0.92843	0.06390	0.00000
6	10	0.06398	369546	2.73698	+0.92850	0.06433	0.00000
6	10	0.06398	369544	2.73752	+0.92851	0.06427	0.00000
7	10	0.06493	369683	2.74956	+0.95098	0.06485	0.00000
7	10	0.06493	369665	2.74749	+0.95656	0.06470	0.00000
7	10	0.06493	369706	2.75169	+0.95854	0.06481	0.00000
7	10	0.06493	369704	2.75450	+0.96073	0.06513	0.00000
7	10	0.06493	369697	2.75848	+0.96189	0.06502	0.00000
7	10	0.06493	369519	2.74858	+0.94769	0.06488	0.00000
7	10	0.06493	369484	2.74992	+0.94743	0.06511	0.00000
7	10	0.06493	369483	2.75095	+0.94706	0.06467	0.00000
7	10	0.06493	369480	2.75258	+0.94738	0.06498	0.00000
7	10	0.06493	369482	2.75332	+0.94855	0.06684	0.00000
8	9	0.06118	167565	2.56656	+0.96614	0.06257	0.00000
8	9	0.06118	167606	2.56055	+0.96841	0.06306	0.00000
8	9	0.06118	167605	2.56175	+0.97053	0.06131	0.00000
8	9	0.06118	167593	2.55705	+0.97601	0.06118	0.00000
8	9	0.06118	167588	2.55680	+0.99299	0.05900	0.00000
8	9	0.06118	167334	2.56229	+0.97669	0.06154	0.00000
8	9	0.06118	167597	2.55634	+0.98135	0.06094	0.00000
8	9	0.06118	167581	2.55441	+0.98742	0.06079	0.00000
8	9	0.06118	167585	2.55505	+0.99111	0.05921	0.00000
9	9	0.07253	394158	2.63556	+0.97393	0.07329	0.00000
9	9	0.07253	393995	2.62301	+0.97539	0.07198	0.00000
9	9	0.07253	394041	2.62715	+0.97727	0.07223	0.00000
9	9	0.07253	394029	2.62849	+0.97732	0.07205	0.00000
9	9	0.07253	394064	2.62967	+0.97804	0.07253	0.00000
9	9	0.07253	394082	2.63375	+0.97933	0.07403	0.00000
9	9	0.07253	394070	2.63480	+0.97931	0.07267	0.00000
9	9	0.07253	394027	2.62815	+0.97454	0.07232	0.00000
9	9	0.07253	394078	2.63082	+0.97603	0.07261	0.00000
10	7	0.06269	166824	2.54629	+0.95804	0.06064	0.00000
10	7	0.06269	166838	2.54377	+0.95573	0.06093	0.00000
10	7	0.06269	294048	2.55520	+0.95013	0.06269	0.00000
10	7	0.06269	294045	2.55656	+0.94977	0.06293	0.00000
10	7	0.06269	294003	2.55482	+0.94704	0.06095	0.00000
10	7	0.06269	293960	2.54378	+0.95106	0.06303	0.00000
10	7	0.06269	294005	2.55028	+0.95173	0.06385	0.00000
11	7	0.07154	394726	2.67389	+0.98613	0.07137	0.00000
